scenario_id,category,start_x,start_y,goal_x,goal_y,straight_line_distance,direct_path_blocked,number_of_blocking_obstacles,first_obstacle_distance,shortest_collision_free_path,detour_ratio,same_room,start_room,goal_room,difficulty,success,collision,timeout
WALL-BLOCKED_14,WALL-BLOCKED,0.0,0.0,4.11230706504005,5.738014493742035,7.059453217322995,True,2,1.1072659196870147,8.217799999999997,1.164084490259751,False,LivingRoom,BR2,HARD,True,False,False
WALL-BLOCKED_15,WALL-BLOCKED,0.0,0.0,-3.0796674667220536,-6.466043793352915,7.1619881348089365,True,1,4.41858661793147,7.78339999999999,1.0867652743196887,False,LivingRoom,BR3,MODERATE,False,True,False
WALL-BLOCKED_16,WALL-BLOCKED,0.0,0.0,0.5054597641440939,2.89025744496427,2.9341229816318184,True,1,1.1166947378401788,5.503799999999999,1.8757904949638646,True,LivingRoom,LivingRoom,VERY_HARD,True,False,False
WALL-BLOCKED_17,WALL-BLOCKED,0.0,0.0,-2.9485456765238967,-5.066829135277144,5.86231004746773,True,1,3.777587431957293,6.341999999999994,1.081826097331626,False,LivingRoom,BR3,MODERATE,False,True,False
WALL-BLOCKED_18,WALL-BLOCKED,0.0,0.0,5.3017638568815295,-5.324979881935137,7.514260491701712,True,1,4.233402186472284,7.945799999999997,1.057429404899504,False,LivingRoom,Kitchen,MODERATE,False,True,False
WALL-BLOCKED_19,WALL-BLOCKED,0.0,0.0,1.9680748209194632,-2.162170271946451,2.9237473874509345,True,1,1.7578965232301322,3.221,1.101668363629809,True,LivingRoom,LivingRoom,MODERATE,True,False,False
WALL-BLOCKED_20,WALL-BLOCKED,0.0,0.0,-0.14157762694870846,6.312630714739989,6.314218143612964,True,1,1.1002766155409969,8.942,1.4161690009150418,False,LivingRoom,Corridor,HARD,False,False,True
WALL-BLOCKED_21,WALL-BLOCKED,0.0,0.0,-3.3561843996468688,6.093135224778696,6.956311565181073,True,2,1.2558301169127755,8.403799999999991,1.2080827492063664,False,LivingRoom,BR1,HARD,False,True,False
WALL-BLOCKED_22,WALL-BLOCKED,0.0,0.0,0.9957225121056312,5.557485030956496,5.64598115391997,True,1,1.1175161488906553,7.686599999999994,1.3614285613871089,False,LivingRoom,Corridor,HARD,False,True,False
WALL-BLOCKED_23,WALL-BLOCKED,0.0,0.0,-2.6872048272224953,2.0185718711605154,3.3609079401983544,True,1,1.8314922480777043,4.114000000000002,1.2240739922668638,False,LivingRoom,Corridor,MODERATE,True,False,False
WALL-BLOCKED_24,WALL-BLOCKED,0.0,0.0,3.2895365455585566,4.634521467101729,5.683294811426914,True,2,1.1036663367713229,6.745199999999997,1.186846754181747,False,LivingRoom,BR2,HARD,False,True,False
WALL-BLOCKED_25,WALL-BLOCKED,0.0,0.0,-0.8846873637973229,3.7906748285575165,3.892542535094795,True,1,1.1295605617097069,6.3936,1.6425254039887576,False,LivingRoom,Corridor,HARD,True,False,False
WALL-BLOCKED_26,WALL-BLOCKED,0.0,0.0,-4.9003867162448165,-4.260145675091901,6.493275840571759,True,1,4.420153997962026,7.014599999999995,1.0802867723824177,False,LivingRoom,BR3,MODERATE,False,True,False
WALL-BLOCKED_27,WALL-BLOCKED,0.0,0.0,6.626965398229068,1.8367548070561757,6.876797118613382,True,1,4.528331568765868,7.345199999999998,1.0681135233899504,False,LivingRoom,Corridor,MODERATE,True,False,False
WALL-BLOCKED_28,WALL-BLOCKED,0.0,0.0,0.7736936197569821,3.828990444063361,3.906375511645187,True,1,1.1222313363231262,6.069400000000001,1.5537164775651193,False,LivingRoom,Corridor,HARD,False,True,False
WALL-BLOCKED_29,WALL-BLOCKED,0.0,0.0,3.0376944914471924,5.909089570952589,6.6441649122300745,True,3,1.2368371329789953,7.962399999999992,1.1984049320244008,False,LivingRoom,BR2,VERY_HARD,False,False,True
WALL-BLOCKED_30,WALL-BLOCKED,0.0,0.0,-3.471266454794273,1.923994550170477,3.968809119782116,True,1,2.0581243514512284,4.3452,1.0948372342579549,False,LivingRoom,Corridor,MODERATE,True,False,False
COMPLEX OBSTACLE_1,COMPLEX OBSTACLE,0.0,0.0,-0.9623459351011521,7.406952502191314,7.4692071244894445,True,1,1.109245379190387,10.373200000000008,1.3887953335755252,False,LivingRoom,Corridor,HARD,False,True,False
COMPLEX OBSTACLE_2,COMPLEX OBSTACLE,0.0,0.0,-6.3535667989862405,-3.5547970703840237,7.280411614791508,True,1,5.939352729525718,8.124799999999988,1.1159808579356898,False,LivingRoom,BR3,MODERATE,True,False,False
COMPLEX OBSTACLE_3,COMPLEX OBSTACLE,0.0,0.0,3.576566605717329,-3.6953463900821304,5.142704894102462,True,1,4.175011772567412,5.500599999999997,1.0695927752548977,False,LivingRoom,Kitchen,MODERATE,False,True,False
COMPLEX OBSTACLE_4,COMPLEX OBSTACLE,0.0,0.0,-6.232522310948365,-3.591590335149813,7.193320199463575,True,1,5.808187079213261,8.024799999999988,1.1155905447665764,False,LivingRoom,BR3,MODERATE,False,True,False
COMPLEX OBSTACLE_5,COMPLEX OBSTACLE,0.0,0.0,-5.041720702763757,-4.56717853568528,6.802798499257568,True,1,4.319541155158028,7.238799999999996,1.0640914912870065,False,LivingRoom,BR3,MODERATE,False,True,False
COMPLEX OBSTACLE_6,COMPLEX OBSTACLE,0.0,0.0,3.5665652871567026,-5.51955465287776,6.571595811799118,True,2,1.5477833072790943,7.40059999999999,1.1261496007883531,False,LivingRoom,Kitchen,HARD,False,True,False
COMPLEX OBSTACLE_7,COMPLEX OBSTACLE,0.0,0.0,3.091150979631326,2.4420185230041898,3.939374169277561,True,2,1.4518467894290095,4.462400000000001,1.1327687618001407,False,LivingRoom,Corridor,HARD,True,False,False
COMPLEX OBSTACLE_8,COMPLEX OBSTACLE,0.0,0.0,1.4147243533841647,3.5808992403131095,3.8502317287837684,True,1,1.1827350107990808,5.4796,1.423187066647265,False,LivingRoom,Corridor,HARD,False,False,True
COMPLEX OBSTACLE_9,COMPLEX OBSTACLE,0.0,0.0,-6.506734663580714,3.669120033180524,7.469942288942363,True,2,2.0673291497130637,9.320999999999987,1.2478008048064462,False,LivingRoom,BR1,HARD,False,False,True
COMPLEX OBSTACLE_10,COMPLEX OBSTACLE,0.0,0.0,2.728264454466588,3.236258165500096,4.232823389567762,True,2,1.1771437431112053,5.1382,1.213894256175118,False,LivingRoom,BR2,HARD,True,False,False
COMPLEX OBSTACLE_11,COMPLEX OBSTACLE,0.0,0.0,7.146956021369387,3.6235721326376584,8.013067787796155,True,2,1.9902352554430807,9.645199999999988,1.2036838144174393,False,LivingRoom,BR2,HARD,False,True,False
COMPLEX OBSTACLE_12,COMPLEX OBSTACLE,0.0,0.0,5.238847048917428,-7.333404422233422,9.012454650203992,True,2,1.5976469277685041,9.9044,1.098968081883865,False,LivingRoom,Kitchen,HARD,True,False,False
COMPLEX OBSTACLE_13,COMPLEX OBSTACLE,0.0,0.0,5.999441332265771,-3.669647888594298,7.0327527985536,True,1,5.557749335895542,7.431799999999994,1.0567412523768025,False,LivingRoom,Kitchen,MODERATE,False,True,False
COMPLEX OBSTACLE_14,COMPLEX OBSTACLE,0.0,0.0,5.3911896621574265,3.587411015110158,6.475680949883711,True,2,1.6246013713921699,7.803799999999993,1.2050933423673587,False,LivingRoom,BR2,HARD,False,True,False
COMPLEX OBSTACLE_15,COMPLEX OBSTACLE,0.0,0.0,-5.526407958400117,4.509370134755045,7.132713644531714,True,2,1.7399292527605057,8.693599999999996,1.2188348549033556,False,LivingRoom,BR1,HARD,False,True,False
COMPLEX OBSTACLE_16,COMPLEX OBSTACLE,0.0,0.0,-2.567794072605807,5.854213676106314,6.392603864218376,True,2,1.2011628955978193,7.872599999999988,1.23151694790063,False,LivingRoom,BR1,HARD,True,False,False
COMPLEX OBSTACLE_17,COMPLEX OBSTACLE,0.0,0.0,-0.45359659757920723,7.352542731493012,7.366521193329056,True,1,1.1020912912146419,10.066200000000006,1.366479473257433,False,LivingRoom,Corridor,HARD,False,True,False
COMPLEX OBSTACLE_18,COMPLEX OBSTACLE,0.0,0.0,1.361845156551953,6.310860472202455,6.456127487126583,True,1,1.1253204324704036,8.320999999999993,1.2888531114963167,False,LivingRoom,Corridor,MODERATE,True,False,False
COMPLEX OBSTACLE_19,COMPLEX OBSTACLE,0.0,0.0,-3.682164459842249,7.315936894917762,8.190315485971484,True,2,1.231468664092394,9.827999999999998,1.1999537767297936,False,LivingRoom,BR1,HARD,False,True,False
COMPLEX OBSTACLE_20,COMPLEX OBSTACLE,0.0,0.0,4.137670198972129,-7.415767348282147,8.491991523742218,True,2,1.6418885247745032,9.548999999999992,1.1244712118826958,False,LivingRoom,Kitchen,HARD,False,True,False
COMPLEX OBSTACLE_21,COMPLEX OBSTACLE,0.0,0.0,-2.5661245147854213,4.341007291265113,5.042751166595432,True,2,1.277820079781158,6.372599999999993,1.2637149423937166,False,LivingRoom,BR1,HARD,False,True,False
COMPLEX OBSTACLE_22,COMPLEX OBSTACLE,0.0,0.0,-2.628436496460127,-7.043221181568074,7.517688675943742,True,1,5.434260444766195,8.217799999999988,1.0931285338134007,False,LivingRoom,BR3,MODERATE,True,False,False
COMPLEX OBSTACLE_23,COMPLEX OBSTACLE,0.0,0.0,3.656288727772078,-6.058632929143245,7.076403057410737,True,2,1.5483247816093935,7.941999999999989,1.1223215997685094,False,LivingRoom,Kitchen,HARD,False,True,False
COMPLEX OBSTACLE_24,COMPLEX OBSTACLE,0.0,0.0,-1.3473199313819584,3.4781652456350436,3.7300005996571324,True,1,1.1796451203035696,5.8866,1.5781766899825982,False,LivingRoom,Corridor,HARD,False,False,True
COMPLEX OBSTACLE_25,COMPLEX OBSTACLE,0.0,0.0,5.395974966046495,-7.409151292832289,9.165809768606309,True,2,1.6082209997136199,10.045800000000002,1.096007909132888,False,LivingRoom,Kitchen,HARD,False,True,False
COMPLEX OBSTACLE_26,COMPLEX OBSTACLE,0.0,0.0,1.3323902055527626,5.557416757522488,5.714905482739386,True,1,1.1311723243544936,7.520999999999993,1.3160322638258004,False,LivingRoom,Corridor,HARD,True,False,False
