scenario_id,category,model,success,collision,timeout,initial_distance_to_goal,final_distance_to_goal,episode_steps,episode_time,path_length,minimum_clearance,mean_linear_velocity,mean_angular_velocity,mean_absolute_angular_velocity,forward_percentage,reverse_percentage,stationary_percentage,oscillation_events,oscillation_rate,no_turn_event,front_collision,successful_obstacle_avoidance,critical_recovery,angular_velocity_when_clearance_below_0.45m,direct_goal_path_blocked,first_obstacle_detected_step,first_turn_step,clearance_at_first_turn,did_robot_turn_away_from_blocking_wall,did_robot_get_around_wall,final_result
COMPLEX OBSTACLE_6,COMPLEX OBSTACLE,Champion,False,True,False,6.571595773509212,11.40212,98,9.8,1.9109747,0.30187690258026123,0.19499743,-0.19681117,0.28232077,0.9693877551020408,0.0,0.030612244897959183,0,0.0,False,False,False,False,0.25812355,True,50,50,0.4444314241409302,True,False,Collision
COMPLEX OBSTACLE_7,COMPLEX OBSTACLE,Champion,True,False,False,3.9393741757938088,1.181965,206,20.6,4.4012074,0.5711426734924316,0.21345262,-0.011120892,0.22183302,0.9660194174757282,0.0,0.03398058252427184,0,0.0,False,False,False,False,0.0,True,-1,-1,-1.0,False,True,Success
COMPLEX OBSTACLE_8,COMPLEX OBSTACLE,Champion,False,False,True,3.8502317259254264,9.787952,800,80.0,11.62617,0.9316601753234863,-0.06201043,0.0042925184,0.18250309,0.2225,0.7025,0.075,0,0.0,False,False,False,False,0.0,True,-1,-1,-1.0,False,False,Timeout
COMPLEX OBSTACLE_9,COMPLEX OBSTACLE,Champion,False,False,True,7.469942469316514,1.239978,800,80.0,5.972455,0.9075570106506348,-0.07465565,-0.07805989,0.087830804,0.0,0.9375,0.0625,0,0.0,False,False,False,False,0.0,True,-1,-1,-1.0,False,False,Timeout
COMPLEX OBSTACLE_10,COMPLEX OBSTACLE,Champion,True,False,False,4.2328235428270355,1.1790282,222,22.200000000000003,4.3017964,0.3029314875602722,0.19375034,-0.09226873,0.22166811,0.9459459459459459,0.0,0.05405405405405406,0,0.0,False,False,True,True,0.38507873,True,201,201,0.43629002571105957,True,True,Success
COMPLEX OBSTACLE_11,COMPLEX OBSTACLE,Champion,False,True,False,8.013067729532299,3.0642753,339,33.9,8.170923,0.3025813698768616,0.24091373,0.041709226,0.10693891,0.9911504424778761,0.0,0.008849557522123894,0,0.0,True,False,False,False,0.030328419,True,288,-1,-1.0,False,False,Collision
COMPLEX OBSTACLE_12,COMPLEX OBSTACLE,Champion,True,False,False,9.012454867061201,1.1697938,467,46.7,7.343499,0.3014942407608032,0.15512775,-0.07806722,0.1642711,0.9336188436830836,0.010706638115631691,0.055674518201284794,0,0.0,False,False,True,True,0.2185053,True,175,201,0.3239365518093109,True,True,Success
COMPLEX OBSTACLE_13,COMPLEX OBSTACLE,Champion,False,True,False,7.032752663057466,3.108263,693,69.3,10.085912,0.3009434640407562,0.037460484,-0.11079985,0.15015085,0.5021645021645021,0.43867243867243866,0.05916305916305916,0,0.0,True,False,False,False,0.078096576,True,143,148,0.4446914792060852,True,False,Collision
COMPLEX OBSTACLE_14,COMPLEX OBSTACLE,Champion,False,True,False,6.475680828573462,1.2298261,340,34.0,6.464881,0.30066993832588196,0.16000782,-0.01126075,0.1705164,0.8147058823529412,0.1411764705882353,0.04411764705882353,0,0.0,True,False,False,False,0.07218547,True,290,-1,-1.0,False,False,Collision
COMPLEX OBSTACLE_15,COMPLEX OBSTACLE,Champion,False,True,False,7.132713949769165,12.0,219,21.900000000000002,3.053939,0.3001813292503357,0.05277932,-0.120455034,0.25493422,0.4703196347031963,0.2968036529680365,0.2328767123287671,0,0.0,True,False,False,False,0.14402612,True,132,-1,-1.0,False,False,Collision
