episode_id,category,outcome,initial_goal_distance,final_goal_distance,total_distance_reduction,angular_reversals,linear_reversals,cumulative_angular_rotation,percent_turning,avg_lin_last10,avg_ang_last10
COMPLEX OBSTACLE_27,COMPLEX OBSTACLE,SUCCESS,7.325651119590027,0.4904141661678442,6.835236953422183,35,0,7.354169,0.3837837837837838,0.14959002,-0.01300962
COMPLEX OBSTACLE_28,COMPLEX OBSTACLE,TIMEOUT,6.148427724555128,2.7683596248442828,3.380068099710845,26,1,5.357908,0.115,-0.066217996,-0.00044150394
COMPLEX OBSTACLE_29,COMPLEX OBSTACLE,COLLISION,5.347671896042815,1.5198809456618836,3.8277909503809315,24,1,8.381766,0.3034934497816594,0.20934744,-0.3299111
COMPLEX OBSTACLE_30,COMPLEX OBSTACLE,SUCCESS,4.204976491782658,0.49056677487936223,3.714409716903296,16,4,3.8658943,0.24609375,0.16903214,-0.013681322
TOP_LEFT_1,TOP_LEFT,COLLISION,8.092354575529013,7.173648235215696,0.9187063403133173,5,1,5.6540103,0.3865546218487395,0.13337408,0.12198895
TOP_LEFT_2,TOP_LEFT,SUCCESS,4.916853960240744,0.49420748357152167,4.422646476669223,13,1,8.501341,0.34782608695652173,0.17896587,0.05417244
TOP_LEFT_3,TOP_LEFT,COLLISION,5.444826847153105,4.193884877592766,1.2509419695603388,3,1,6.4316287,0.5,0.1303039,0.15448132
TOP_LEFT_4,TOP_LEFT,COLLISION,7.665971811077395,4.15855055617275,3.5074212549046457,18,1,9.031842,0.4369747899159664,0.21587472,-0.22274601
TOP_LEFT_5,TOP_LEFT,COLLISION,6.2595623948779675,5.202563683429985,1.0569987114479824,5,1,5.6009035,0.4675925925925926,0.1302818,0.13268147
TOP_LEFT_6,TOP_LEFT,SUCCESS,4.957044092706359,0.48404333275333145,4.4730007599530275,18,1,9.58813,0.379746835443038,0.13602854,0.036579978
TOP_LEFT_7,TOP_LEFT,COLLISION,7.972236999570025,7.09757559083158,0.8746614087384446,5,1,5.7761188,0.3891213389121339,0.13633575,0.11602682
TOP_LEFT_8,TOP_LEFT,SUCCESS,5.184851478305864,0.4957797531456849,4.689071725160179,23,1,9.509936,0.3446601941747573,0.17585047,0.16629568
TOP_LEFT_9,TOP_LEFT,SUCCESS,3.466638073579731,0.4974448808254764,2.9691931927542545,4,1,5.7355356,0.28955223880597014,0.17918384,-0.092069186
TOP_LEFT_10,TOP_LEFT,SUCCESS,5.958563027598564,0.4954796279496569,5.463083399648907,26,3,9.432623,0.3242009132420091,0.15306193,-0.05349875
TOP_RIGHT_1,TOP_RIGHT,COLLISION,5.611185045866299,1.94490350883862,3.666281537027679,41,21,7.8563867,0.22006472491909385,0.13236739,-0.024126342
TOP_RIGHT_2,TOP_RIGHT,COLLISION,5.473133903813281,1.6486363481988278,3.824497555614453,20,0,5.143696,0.40551181102362205,0.15063526,0.009370413
TOP_RIGHT_3,TOP_RIGHT,SUCCESS,7.66297430927992,0.49126935537460076,7.171704953905319,49,0,3.7530804,0.16981132075471697,0.14440484,0.05170338
TOP_RIGHT_4,TOP_RIGHT,SUCCESS,5.238834822963395,0.49864348396126296,4.740191339002132,30,3,7.6285987,0.4824561403508772,0.19086689,-0.14838734
TOP_RIGHT_5,TOP_RIGHT,COLLISION,8.179218183135681,2.106166173268808,6.073052009866873,27,0,3.9933949,0.20121951219512196,0.15236598,0.08857706
TOP_RIGHT_6,TOP_RIGHT,SUCCESS,6.456375974648932,0.49870687900423655,5.957669095644695,26,0,7.321693,0.41002949852507375,0.13366169,-0.16311806
TOP_RIGHT_7,TOP_RIGHT,COLLISION,5.794994306364443,1.5755752409830501,4.219419065381393,39,0,6.359743,0.31932773109243695,0.09323216,0.10625809
TOP_RIGHT_8,TOP_RIGHT,SUCCESS,7.050566742169187,0.49472717357544926,6.555839568593738,29,0,12.800163,0.31130690161527164,0.16513973,-0.08483713
TOP_RIGHT_9,TOP_RIGHT,TIMEOUT,6.938959835519224,7.164495074535959,-0.2255352390167351,29,29,12.452698,0.235,-0.04909057,0.0262772
TOP_RIGHT_10,TOP_RIGHT,SUCCESS,6.754863718844164,0.4885897614753637,6.2662739573688,46,0,6.546164,0.4246153846153846,0.18468739,-0.1689287
BOTTOM_LEFT_1,BOTTOM_LEFT,SUCCESS,4.545600679732337,0.48346316251381505,4.062137517218522,17,2,7.780529,0.4416961130742049,0.17724894,0.21959685
BOTTOM_LEFT_2,BOTTOM_LEFT,SUCCESS,8.496748744594312,0.4996207760974704,7.997127968496842,27,0,10.076743,0.3737166324435318,0.16204864,-0.049671628
BOTTOM_LEFT_3,BOTTOM_LEFT,SUCCESS,6.026884249771194,0.49851730720540843,5.5283669425657855,14,0,8.584693,0.4691780821917808,0.24874161,-0.003985129
BOTTOM_LEFT_4,BOTTOM_LEFT,COLLISION,7.980943618856603,4.947363342581169,3.0335802762754343,12,0,6.3465543,0.4342629482071713,0.16829482,0.025610728
BOTTOM_LEFT_5,BOTTOM_LEFT,TIMEOUT,7.643026004534593,4.296848236714082,3.346177767820511,36,1,8.779586,0.08875,-0.06667302,-0.0021774909
BOTTOM_LEFT_6,BOTTOM_LEFT,SUCCESS,6.177625285451955,0.4869140595301158,5.69071122592184,27,0,9.424485,0.49117647058823527,0.16752808,-0.09136231
BOTTOM_LEFT_7,BOTTOM_LEFT,COLLISION,6.614764159866655,3.485772515679217,3.128991644187438,29,4,5.896631,0.22741433021806853,0.019383157,0.042007662
BOTTOM_LEFT_8,BOTTOM_LEFT,COLLISION,7.26070771386422,3.4731122757028605,3.7875954381613597,17,3,7.7503014,0.45666666666666667,0.013612747,0.14900292
BOTTOM_LEFT_9,BOTTOM_LEFT,COLLISION,8.482761045143016,2.2486263220930014,6.2341347230500155,39,2,6.5254617,0.2180232558139535,0.15554011,0.09164411
BOTTOM_LEFT_10,BOTTOM_LEFT,SUCCESS,4.98252275524432,0.49606906822181424,4.486453687022506,13,2,7.612098,0.42857142857142855,0.20130716,0.015657542
BOTTOM_RIGHT_1,BOTTOM_RIGHT,SUCCESS,3.3001601114305017,0.47981764510285685,2.820342466327645,20,0,3.039749,0.37333333333333335,0.17191787,-0.09376402
BOTTOM_RIGHT_2,BOTTOM_RIGHT,COLLISION,7.371076220940787,3.7424025569395463,3.6286736640012407,26,10,3.9436758,0.3453815261044177,0.10141013,-0.0022159966
BOTTOM_RIGHT_3,BOTTOM_RIGHT,SUCCESS,5.346505878068295,0.48486612680305013,4.861639751265245,32,0,4.071693,0.3125,0.2038675,0.114070244
BOTTOM_RIGHT_4,BOTTOM_RIGHT,COLLISION,6.954556451098102,3.200945735617783,3.753610715480319,25,6,4.6204314,0.40789473684210525,0.14830029,0.01883971
BOTTOM_RIGHT_5,BOTTOM_RIGHT,TIMEOUT,6.8128393742730315,3.680570356023498,3.1322690182495334,63,1,6.375627,0.1025,-0.055444684,0.00072411174
BOTTOM_RIGHT_6,BOTTOM_RIGHT,SUCCESS,7.2105313444155295,0.49892577677340133,6.7116055676421285,18,0,3.7733643,0.22108843537414966,0.16428526,0.026576381
BOTTOM_RIGHT_7,BOTTOM_RIGHT,TIMEOUT,5.594622779215374,2.212480890512301,3.382141888703073,36,3,6.7568526,0.1,-0.06617869,-0.0004130993
BOTTOM_RIGHT_8,BOTTOM_RIGHT,SUCCESS,5.402259392423533,0.4975389304160852,4.904720462007448,29,0,4.757001,0.41735537190082644,0.19308186,-0.096296184
BOTTOM_RIGHT_9,BOTTOM_RIGHT,COLLISION,6.164741024867735,2.2407680085079242,3.9239730163598106,30,1,4.817878,0.18218623481781376,-0.0650327,0.011582749
BOTTOM_RIGHT_10,BOTTOM_RIGHT,SUCCESS,3.3393013112823735,0.4800942992294485,2.859207012052925,28,2,4.320055,0.5590062111801242,0.13390929,-0.18134537
RANDOM_1,RANDOM,SUCCESS,5.729884240749792,0.4830994195926623,5.24678482115713,26,0,4.228481,0.30962343096234307,0.18483068,0.123486206
RANDOM_2,RANDOM,SUCCESS,3.453516015577338,0.4978021822343646,2.9557138333429736,28,0,4.7783704,0.4444444444444444,0.17234355,-0.03794407
RANDOM_3,RANDOM,COLLISION,6.664075065576357,1.4065953243943115,5.2574797411820455,57,0,6.7414484,0.37423312883435583,0.18658468,0.1490463
RANDOM_4,RANDOM,SUCCESS,4.585294204909232,0.4920568437482325,4.093237361160999,12,0,6.13525,0.31521739130434784,0.16164352,-0.0040317373
RANDOM_5,RANDOM,TIMEOUT,5.121125363835718,1.8806189026234423,3.240506461212276,44,3,7.5815797,0.15125,-0.07439588,-0.0005128554
RANDOM_6,RANDOM,SUCCESS,5.071443550986199,0.4914104799892643,4.580033070996935,14,2,7.56587,0.4473684210526316,0.21656515,-0.044333175
RANDOM_7,RANDOM,SUCCESS,5.989916400095275,0.4983649683029526,5.491551431792322,27,0,3.9120233,0.27626459143968873,0.23703907,0.11369824
RANDOM_8,RANDOM,SUCCESS,1.5427732970585728,0.4835920230350815,1.0591812740234914,0,0,3.1490135,0.7066666666666667,0.1515193,-0.41793966
RANDOM_9,RANDOM,SUCCESS,3.3479406500730757,0.49108892257273007,2.8568517275003456,2,1,8.068636,0.2887323943661972,0.15130049,-0.28215846
RANDOM_10,RANDOM,SUCCESS,6.630889572151206,0.49538703475846485,6.135502537392742,19,0,9.051745,0.5045045045045045,0.22229646,-0.04546802
RANDOM_11,RANDOM,COLLISION,7.917686894633548,6.860382225323137,1.0573046693104118,9,1,5.5677586,0.42081447963800905,0.16506787,0.027924487
RANDOM_12,RANDOM,SUCCESS,4.29184728443394,0.49761453526405136,3.794232749169889,6,0,5.353164,0.4046511627906977,0.17914161,0.054831833
RANDOM_13,RANDOM,SUCCESS,4.968167140445764,0.490759374894544,4.47740776555122,23,1,6.2891364,0.3755274261603376,0.23499523,0.029686246
RANDOM_14,RANDOM,SUCCESS,4.588054927609672,0.4959032346434684,4.092151692966204,19,2,5.276027,0.34513274336283184,0.15678631,0.050213642
RANDOM_15,RANDOM,SUCCESS,5.678655077420451,0.4905937732630304,5.188061304157421,39,0,3.9666061,0.27309236947791166,0.2214839,0.1776572
RANDOM_16,RANDOM,SUCCESS,2.689739620139353,0.47833925520761966,2.2114003649317335,6,2,5.0289164,0.4155844155844156,0.17545828,-0.050881658
RANDOM_17,RANDOM,SUCCESS,1.662977707992074,0.48684929958775885,1.176128408404315,7,2,8.146252,0.6650246305418719,0.21110356,0.42284888
RANDOM_18,RANDOM,SUCCESS,8.55760324716594,0.4996737325918945,8.057929514574045,38,0,8.514588,0.3525773195876289,0.15221053,-0.06360646
RANDOM_19,RANDOM,COLLISION,6.937638364944203,1.2045327644015744,5.733105600542628,38,2,10.32386,0.24926686217008798,0.073612176,-0.062064767
RANDOM_20,RANDOM,SUCCESS,7.16705719415696,0.48467760240271973,6.6823795917542395,25,0,3.7861843,0.18211920529801323,0.1519269,0.00048002577
