scenario_id,category,outcome,final_dist_to_goal,strict_success_025m,min_clearance,path_length,total_steps,mean_linear_vel,mean_angular_vel,max_linear_vel,oscillation_detected,no_turn_detected,fallback_used_count,failure_reason
BOTTOM_LEFT_3,BOTTOM_LEFT,SUCCESS,0.2371,True,0.4507,16.081,317,0.247,0.2548,0.3444,False,False,0,
BOTTOM_LEFT_4,BOTTOM_LEFT,SUCCESS,0.2448,True,0.3001,14.222,369,0.2633,0.223,0.3397,False,False,0,
BOTTOM_LEFT_5,BOTTOM_LEFT,SUCCESS,0.2277,True,0.3003,31.588,340,0.2559,0.2334,0.3421,False,False,0,
BOTTOM_LEFT_6,BOTTOM_LEFT,SUCCESS,0.2447,True,0.3195,14.664,271,0.2687,0.2461,0.337,False,False,0,
BOTTOM_LEFT_7,BOTTOM_LEFT,SUCCESS,0.2498,True,0.4505,15.518,295,0.2583,0.2257,0.3391,False,False,0,
BOTTOM_LEFT_8,BOTTOM_LEFT,COLLISION,0.3391,False,0.3001,14.011,369,0.2436,0.2287,0.3361,False,False,0,EXCESSIVE_SPEED
BOTTOM_LEFT_9,BOTTOM_LEFT,SUCCESS,0.237,True,0.3015,18.545,417,0.2588,0.2427,0.3392,False,False,0,
BOTTOM_LEFT_10,BOTTOM_LEFT,SUCCESS,0.2035,True,0.3763,18.215,370,0.1864,0.2742,0.3428,False,False,0,
BOTTOM_RIGHT_1,BOTTOM_RIGHT,SUCCESS,0.2486,True,0.6226,4.096,121,0.2731,0.2421,0.3428,False,False,0,
BOTTOM_RIGHT_2,BOTTOM_RIGHT,SUCCESS,0.2398,True,0.4111,8.903,308,0.2612,0.1839,0.3383,False,False,0,
BOTTOM_RIGHT_3,BOTTOM_RIGHT,SUCCESS,0.2392,True,0.6377,8.31,211,0.2515,0.2432,0.3383,False,False,0,
BOTTOM_RIGHT_4,BOTTOM_RIGHT,SUCCESS,0.2406,True,0.445,9.455,269,0.2727,0.168,0.3383,False,False,0,
BOTTOM_RIGHT_5,BOTTOM_RIGHT,SUCCESS,0.2402,True,0.4121,15.74,310,0.2631,0.2534,0.3382,False,False,0,
BOTTOM_RIGHT_6,BOTTOM_RIGHT,SUCCESS,0.2383,True,0.3001,14.973,304,0.2574,0.1612,0.3395,False,False,0,
BOTTOM_RIGHT_7,BOTTOM_RIGHT,SUCCESS,0.2472,True,0.3,7.559,268,0.2666,0.2622,0.3358,False,False,0,
BOTTOM_RIGHT_8,BOTTOM_RIGHT,SUCCESS,0.2363,True,0.4325,11.438,198,0.2772,0.1835,0.3359,False,False,0,
BOTTOM_RIGHT_9,BOTTOM_RIGHT,COLLISION,5.3232,False,0.3005,26.843,152,0.1012,0.3479,0.3338,False,False,0,EXCESSIVE_SPEED
BOTTOM_RIGHT_10,BOTTOM_RIGHT,SUCCESS,0.2393,True,0.6586,5.462,157,0.2685,0.3168,0.3402,False,False,0,
RANDOM_1,RANDOM,SUCCESS,0.2421,True,0.8631,5.871,204,0.283,0.1099,0.3488,False,False,0,
RANDOM_2,RANDOM,SUCCESS,0.244,True,0.5743,13.578,282,0.2517,0.2497,0.342,False,False,0,
