episode,step,robot_x,robot_y,robot_yaw,goal_x,goal_y,distance_to_goal,linear_vel,angular_vel,norm_action_linear,norm_action_angular,min_lidar,is_near_obstacle,progress_reward,clearance_reward,turning_penalty,inflation_penalty,sector_00,sector_01,sector_02,sector_03,sector_04,sector_05,sector_06,sector_07,sector_08,sector_09,sector_10,sector_11,sector_12,sector_13,sector_14,sector_15,sector_16,sector_17,sector_18,sector_19,sector_20,sector_21,sector_22,sector_23,sector_24,sector_25,sector_26,sector_27,sector_28,sector_29,sector_30,sector_31,sector_32,sector_33,sector_34,sector_35
13,203,-0.2880104870580131,0.7671842334924748,-1.3137,-0.9427211880683899,4.990172863006592,4.2734,-0.037221,0.140279,-0.335349,0.049394,0.7164,True,0.05069,-0.017811,-0.000984,-0.05,0.742,0.7913,0.8762,1.0164,1.2554,1.716,1.763,4.5803,4.587,7.9666,5.8174,4.6942,4.4613,3.8172,4.1233,6.8267,8.2839,8.322,7.428,1.9552,2.0699,5.5201,5.8146,7.9609,8.1208,4.6223,2.031,1.2333,0.9454,0.9686,0.8764,0.7914,0.7421,0.7192,0.7164,0.7202
13,204,-0.28984650862480077,0.770319472535379,-1.3072,-0.9427211880683899,4.990172863006592,4.2701,-0.03201,-0.085577,-0.316399,-0.030133,0.713,True,0.050888,-0.01663,-0.000366,-0.05,0.7386,0.7877,0.8722,1.0117,1.2497,1.7141,1.7588,4.58,4.5856,7.9733,5.8226,4.6986,4.4655,3.8208,4.1219,6.8252,8.2873,8.3254,7.4289,1.9592,2.0741,5.5209,5.8212,7.9703,8.1216,4.6146,2.0173,1.2251,0.9465,0.9698,0.8723,0.7877,0.7386,0.7159,0.713,0.7168
13,205,-0.29042992786651,0.7736621210688877,-1.3093,-0.9427211880683899,4.990172863006592,4.2667,-0.026608,-0.106545,-0.296757,-0.037516,0.7111,True,0.041818,-0.009858,-0.000568,-0.05,0.7346,0.7819,0.8638,0.999,1.2288,1.7108,1.7412,4.5868,4.576,7.9732,5.912,4.7498,4.4842,3.808,4.0273,6.5626,8.289,8.3199,7.6016,1.9704,2.062,5.4931,5.7418,7.8048,8.1326,8.0898,4.4804,1.2473,0.944,0.9667,0.8761,0.7892,0.7386,0.7146,0.7111,0.7142
13,206,-0.28964785739672017,0.7766042934779133,-1.3194,-0.9427211880683899,4.990172863006592,4.2639,-0.037918,0.141302,-0.337882,0.049754,0.7076,True,0.050155,-0.017453,-0.000998,-0.05,0.7318,0.7796,0.8621,0.9983,1.2302,1.7102,1.7433,4.5828,4.5777,7.9825,5.8807,4.7337,4.4962,3.8036,4.065,6.6695,8.2925,8.3265,7.5285,1.9648,2.0726,5.5086,5.7835,7.886,8.1289,4.6831,2.0393,1.227,0.9459,0.9694,0.8691,0.7838,0.7341,0.7107,0.7076,0.7109
13,207,-0.2914891123095421,0.7797027322673558,-1.3127,-0.9427211880683899,4.990172863006592,4.2605,-0.032847,-0.083416,-0.319444,-0.029372,0.7042,True,0.051161,-0.016829,-0.000348,-0.05,0.7284,0.776,0.8582,0.9938,1.2248,1.7082,1.7398,4.5827,4.577,7.9822,5.8844,4.7372,4.4997,3.8069,4.0654,6.6728,8.2959,8.3301,7.5262,1.9656,2.0771,5.5162,5.7916,7.8985,8.1295,4.6613,2.0237,1.2182,0.9392,0.9706,0.8648,0.7799,0.7305,0.7073,0.7042,0.7076
13,208,-0.292087198169993,0.7830615295911989,-1.3146,-0.9427211880683899,4.990172863006592,4.2571,-0.027382,-0.104229,-0.299571,-0.036701,0.7021,True,0.042853,-0.010534,-0.000543,-0.05,0.7244,0.7702,0.8499,0.9815,1.2046,1.7043,1.7253,4.5967,4.5741,7.9587,5.974,4.7884,4.4703,3.8282,3.9752,6.4263,8.2981,8.3253,7.6996,1.9748,2.0656,5.5191,5.7156,7.7406,8.1407,8.0935,4.4847,1.2396,0.9452,0.9677,0.8683,0.7813,0.7304,0.7059,0.7021,0.7048
13,209,-0.29134046993105855,0.7860679868730122,-1.3245,-0.9427211880683899,4.990172863006592,4.2543,-0.038411,0.141664,-0.339675,0.049882,0.6986,True,0.051047,-0.017678,-0.001003,-0.05,0.7215,0.7678,0.8481,0.9806,1.2057,1.7033,1.7267,4.5901,4.5735,7.9677,5.9424,4.7722,4.4745,3.8238,4.0115,6.5276,8.3015,8.3318,7.6255,1.9839,2.076,5.5011,5.7563,7.8194,8.1369,8.0933,2.0444,1.2192,0.937,0.9704,0.8612,0.7757,0.7258,0.7021,0.6986,0.7016
13,210,-0.29316826529428297,0.7892287217218554,-1.3179,-0.9427211880683899,4.990172863006592,4.2509,-0.036212,0.097038,-0.331679,0.034168,0.6943,True,0.052565,-0.021166,-0.000471,-0.05,0.7191,0.7668,0.849,0.9846,1.2159,1.7038,1.7353,4.5795,4.578,7.9911,5.8609,4.7283,4.4934,3.8151,4.1043,6.7893,8.3059,8.3437,7.4509,1.9802,2.0962,5.5298,5.8491,8.005,8.1271,4.5888,1.9482,1.182,0.9397,0.9756,0.8498,0.7673,0.7194,0.6971,0.6943,0.698
13,211,-0.2955181702403042,0.7924117788373368,-1.3081,-0.9427211880683899,4.990172863006592,4.2474,-0.03022,-0.091672,-0.309891,-0.032279,0.6932,True,0.033487,-0.005725,-0.00042,-0.05,0.718,0.7657,0.8479,0.9834,1.2148,1.7028,1.7343,4.5787,4.5775,7.9914,5.8588,4.7276,4.493,3.8172,4.1069,6.7992,8.3072,8.3453,7.4447,1.9821,2.0984,5.5286,5.8554,8.0166,8.1275,4.5842,1.9401,1.178,0.9368,0.9768,0.8481,0.7658,0.7181,0.696,0.6932,0.6969
13,212,-0.29650680907985494,0.7945182398702735,-1.3089,-0.9427211880683899,4.990172863006592,4.2451,-0.025358,-0.104877,-0.292209,-0.036929,0.6939,True,0.013125,0.003763,-0.00055,-0.05,0.7183,0.7656,0.8473,0.982,1.2117,1.7014,1.7309,4.5795,4.5746,7.9844,5.8792,4.7388,4.5025,3.8132,4.081,6.7281,8.3064,8.3427,7.4896,1.9784,2.0937,5.5412,5.8328,7.9707,8.1309,4.6055,1.9618,1.1863,0.9421,0.9768,0.8505,0.7676,0.7194,0.6969,0.6939,0.6975
